Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A17004_001,SE_A17004_002,SE_A17004_003,SE_A17004_004,SE_A17004_005,SE_A17004_006,SE_A17004_007,SE_A17004_008,SE_A17004_009,SE_A17004_010,SE_A17004_011,SE_A17004_012,SE_A17004_013,SE_A17004_014,SE_A14006_001,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008
"06065","Riverside County, California","ACSSF","ca","050","00","0000045",,,,,"06","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06065","Riverside County",,,,1045030,13276,97350,87286,28311,131048,76768,16199,52241,105188,217950,113678,51802,53933,76066,2409331,1198146,800972,146145,8563,158546,6302,7083,70535,1211185,431578,10110,11295,5213,1439,550631,200919,1572798,267525,423504,511637,238066,95317,22386,14363
"06067","Sacramento County, California","ACSSF","ca","050","00","0000046",,,,,"06","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County",,,,732788,6004,52456,41171,16716,79951,44940,11557,47727,89237,159735,69036,35774,78484,76422,1571767,1197035,674153,145916,4057,261202,17387,5925,88395,374732,144435,6135,6406,3811,468,134503,78974,1067929,127455,235075,363694,221577,80182,27086,12860
"06069","San Benito County, California","ACSSF","ca","050","00","0000047",,,,,"06","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06069","San Benito County",,,,30951,1921,3756,3725,1230,3173,1817,292,1122,3163,5505,2714,1036,1497,95606,63329,24785,20477,555,192,1775,103,48,1635,38544,19238,47,606,203,20,7713,10717,41203,6901,11037,14805,6305,1503,383,269
"06071","San Bernardino County, California","ACSSF","ca","050","00","0000048",,,,,"06","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County",,,,934832,5876,74785,74574,30933,117311,102706,11772,42698,87669,204151,84341,47834,50182,70287,2171071,986116,577078,165480,6871,158022,6285,6016,66364,1184955,524149,8689,16500,4774,736,427030,203077,1377666,260315,370115,445345,197308,77272,16492,10819
"06073","San Diego County, California","ACSSF","ca","050","00","0000049",,,,,"06","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06073","San Diego County",,,,1572927,10698,100942,151214,32865,163377,69866,31601,98128,250209,336434,170846,77949,78798,88240,3296317,2164862,1455172,151278,10436,385244,12533,11245,138954,1131455,588057,10352,15919,9015,1067,254610,252435,2251321,263063,409660,672143,552537,237251,64813,51854
"06075","San Francisco County, California","ACSSF","ca","050","00","0000050",,,,,"06","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County",,,,511902,872,16297,25792,8408,43922,23701,31976,43237,134062,96297,49422,20856,17060,126187,865933,732692,339050,42642,1675,295385,2847,5573,45520,133241,37006,2493,2537,2295,264,61564,27082,688969,77300,78359,123258,243795,110417,35420,20420
"06077","San Joaquin County, California","ACSSF","ca","050","00","0000051",,,,,"06","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County",,,,327491,15758,28719,30593,9014,38168,28577,4334,14746,32997,65604,27218,14821,16942,74962,771406,445221,228197,51696,1604,124282,4320,1963,33159,326185,130186,2147,4402,3251,397,89994,95808,488393,96216,140468,156626,64170,21608,6014,3291
"06079","San Luis Obispo County, California","ACSSF","ca","050","00","0000052",,,,,"06","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County",,,,130139,4316,10484,9778,2435,14370,6591,2405,6199,14685,28783,15864,6616,7613,82514,282771,217183,190421,3874,862,9620,231,1092,11083,65588,35401,363,1509,517,78,11739,15981,190323,15354,37215,67834,43001,17670,6143,3106
"06081","San Mateo County, California","ACSSF","ca","050","00","0000053",,,,,"06","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County",,,,409344,2098,22450,31063,7581,36193,24686,19042,30704,84214,84047,35112,19415,12739,136837,762488,578518,287872,16751,1035,225352,9134,4642,33732,183970,61835,1248,4442,2510,174,78928,34833,551707,50652,82159,129495,162209,80466,22764,23962
"06083","Santa Barbara County, California","ACSSF","ca","050","00","0000054",,,,,"06","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County",,,,211109,17744,13398,15361,3987,20453,6931,3652,10236,26907,49254,23665,10436,9085,84356,447651,240097,192603,7850,1538,23711,416,1396,12583,207554,102333,573,3780,922,240,49394,50312,277880,50274,47957,82013,58791,24596,7239,7010
"06085","Santa Clara County, California","ACSSF","ca","050","00","0000055",,,,,"06","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County",,,,1007768,5235,51494,165373,18068,82242,30636,55967,45856,222904,193508,75943,36311,24231,140258,1932022,1446930,576892,44951,3057,732915,6035,7030,76050,485092,177135,2567,8840,3735,568,182187,110060,1349372,145904,184860,284658,375482,258731,39036,60701
"06087","Santa Cruz County, California","ACSSF","ca","050","00","0000056",,,,,"06","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County",,,,136507,6700,9077,11359,3423,14365,5698,3325,6147,17890,33736,14007,5883,4897,96093,272138,179497,152771,2269,209,12883,334,1133,9898,92641,33732,802,1634,565,230,39450,16228,179985,21102,28627,54858,43339,21042,5697,5320
"06089","Shasta County, California","ACSSF","ca","050","00","0000057",,,,,"06","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06089","Shasta County",,,,75545,1567,6269,4136,1430,9420,3924,947,4142,7590,18779,7357,4413,5571,61937,181935,162405,141948,2026,3456,5944,199,373,8459,19530,9517,33,819,80,51,4285,4745,128609,11492,33218,54858,19506,6444,2379,712
"06091","Sierra County, California","ACSSF","ca","050","00","0000058",,,,,"06","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06091","Sierra County",,,,1387,198,246,89,0,15,63,0,31,58,235,317,14,121,56152,3079,2734,2692,2,28,0,0,0,12,345,84,0,30,0,0,231,0,2307,130,681,981,259,140,116,0
"06093","Siskiyou County, California","ACSSF","ca","050","00","0000059",,,,,"06","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06093","Siskiyou County",,,,16554,1568,1122,1099,275,1821,684,286,610,1176,4394,1386,803,1330,49857,44151,38281,33042,731,1297,642,151,48,2370,5870,3068,32,191,8,20,970,1581,32223,3250,8724,13316,4595,1630,465,243
"06095","Solano County, California","ACSSF","ca","050","00","0000060",,,,,"06","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06095","Solano County",,,,212151,2399,17895,18506,4602,23796,14811,3697,12389,20936,49257,18677,10242,14944,89648,451432,327314,163975,59348,1507,68641,3780,2767,27296,124118,54918,1207,1538,1896,401,42096,22062,312459,34837,74274,116367,58967,19908,5418,2688
"06097","Sonoma County, California","ACSSF","ca","050","00","0000061",,,,,"06","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County",,,,251382,6292,22643,26228,5876,28811,9705,4479,12731,30504,53913,24605,14451,11144,91607,492498,356815,303803,7190,1880,21034,1381,2263,19264,135683,42679,547,3392,579,259,62690,25537,356445,38619,65278,120203,82579,32790,11634,5342
"06099","Stanislaus County, California","ACSSF","ca","050","00","0000062",,,,,"06","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County",,,,234325,11560,20918,28580,7634,26904,18073,2104,7590,19890,50950,19681,11530,8911,68368,550842,286822,218243,15496,2334,30953,2974,1518,15304,264020,138547,865,3881,972,259,61228,58268,348982,69960,104577,111856,42993,12737,4558,2301
"06101","Sutter County, California","ACSSF","ca","050","00","0000063",,,,,"06","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06101","Sutter County",,,,41668,3626,3488,2706,1260,5127,2646,405,1891,3323,9110,3639,1841,2606,67003,99080,67426,43722,1730,819,15902,358,609,4286,31654,14229,148,539,328,207,7468,8735,64872,13202,15907,22792,8650,2961,913,447
